branch,screen,CPU,RAM,memory,graphic card,weight,discount,warranty,fgold,installment,evaluation,answer,star,size,color,cpu_branch,cpu_type,cpu_speed,cpu_core,cpu_thread,ram_type,ram_speed,ram_track,ram_onboard,screen_tech,screen_resolution,screen_plate,screen_scan,screen_coverage,screen_type,speaker,keyboard_type,keyboard_number,keyboard_lamp,battery_type,battery_supply,os,price
hp,14.0,Ryzen 3,8,256,AMD Radeon Graphics,1.4,2300000,12,2.16,1471000,32,51,4,32.37 x 21.5 x 1.79 cm,Bạc,AMD,7320U,2.4,4.0,8.0,LPDDR5,6400 MHz,1,Có,Anti-Glare,1920 x 1080 Pixels,SVA,60,,,,Chiclet Keyboard,Không,Không,,,windows,9390000
acer,15.6,Core i3,8,256,Intel UHD Graphics,1.7,1300000,12,2.247,1350000,14,23,4,50.5 x 7.0 x 31.5  (L x W x H) mm cm,Bạc,Intel,1215U,4.4,6.0,8.0,DDR4,3200 MHz,2,0,Acer ComfyView LED-backlit,1920 x 1080 Pixels,VA,60,,,,"6-row, multimedia Fn keys",Có,Không,,,windows,8690000
acer,14.0,Ryzen 5,16,512,AMD Radeon Graphics,1.19,6000000,12,3.872,1377000,141,436,5,322.8 x 212.2 x 15.9 mm,Bạc,AMD,5500U,2.1,6.0,12.0,LPDDR4X,4266 MHz,Không,Có,Acer ComfyView LED-backlit,1920 x 1080 Pixels,IPS,60,,LED,1,"6-row, multimedia Fn keys, numeric keypad",Không,LED,Lithium-ion,130 W,windows,14990000
hp,14.0,Ryzen 5,8,256,AMD Radeon Graphics,1.47,2600000,12,2.6,1064000,81,55,5,32.4 x 22.59 x 1.99 cm,Bạc,AMD,5625U,2.3,6.0,12.0,DDR4,3200 MHz,2,0,LCD,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,2,Chiclet Keyboard,Không,Không,,45 W,windows,10490000
asus,15.6,Core i5,8,512,NVIDIA GeForce RTX 3050 4GB,2.3,4000000,24,4.622,1739000,158,232,5,359.0 x 256.0 x 22.8 mm,Đen,Intel,11400H,2.7,6.0,12.0,DDR4,3200 MHz,8,0,Anti-glare LED-backlit,1920 x 1080 Pixels,IPS,144,62% sRGB,LED,2,Backlit Chiclet Keyboard,Có,LED,Lithium-ion 3 viên,,windows,17990000
hp,14.0,Ryzen 5,8,512,AMD Radeon Graphics,1.4,1400000,12,3.422,1152000,28,48,5,32.37 x 21.5 x 1.79 cm,Bạc,AMD,7520U,2.8,4.0,8.0,LPDDR5,5500 MHz,0,1,FHD,1920 x 1080 Pixels,SVA,60,45% NTSC,,,Chiclet Keyboard,Không,Không,,45 W,windows,12790000
msi,14.0,Ryzen 7,8,512,AMD Radeon Graphics,1.4,1500000,24,3.372,1176000,18,11,5,319.9 x 223 x 19.35 mm,Đen,AMD,7730U,2.0,8.0,16.0,DDR4,3200 MHz,0,1,FHD,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,2,"6-row, multimedia Fn keys, numeric keypad",Có,LED,,,windows,12990000
acer,15.6,Core i5,8,512,NVIDIA GeForce RTX 3050 4GB,2.5,6500000,12,4.997,1860000,16,65,4,363.4 x 255 x 23.9 mm,Đen,Intel,11400H,2.7,6.0,12.0,DDR4,3200 MHz,2,0,Acer ComfyView Anti-glare LED-backlit Màn hình chính:,1920 x 1080 Pixels Màn hình chính:,IPS,144,,LED,2,Bàn phím cứng,Có (NumberPad),LED,Lithium-ion 4 viên,,windows,19490000
asus,15.6,Ryzen 7,8,512,NVIDIA GeForce RTX 4050 6GB GDDR6,2.2,4500000,24,6.372,2302000,0,0,0,35.4 x 25.1 x 2.24 ~ 2.49 cm,Xám,AMD,7735HS,3.2,8.0,16.0,DDR5,4800 MHz,2,0,IPS FHD,1920 x 1080 Pixels,IPS,144,,,2,Backlit Chiclet Keyboard,Có,LED,Lithium-ion,,windows,24990000
acer,15.6,Core i5,8,512,NVIDIA GeForce RTX 3050 4GB,2.5,6000000,12,5.747,2141000,50,548,4,360.4 x 271.09 x 25.9 mm,Đen,Intel,12500H,3.3,12.0,16.0,DDR4,3200 MHz,2,0,Acer ComfyView LED-backlit,1920 x 1080 Pixels,IPS,144,45% NTSC,LED,2,Backlit Chiclet Keyboard,Có,LED,Lithium-ion,57.5 W,windows,21990000
hp,15.6,Core i5,16,512,Intel UHD Graphics,1.68,1700000,12,4.947,1723000,14,19,5,36.02 x 23.4 x 1.8 (W x D x H) cm,Bạc,Intel,1335U,3.4,,,DDR4,3200 MHz,2,0,LCD,FHD (1920 x 1080),IPS,Hãng không công bố,,,,English International Non-backlit Keyboard,Có,Không,,,windows,19590000
