branch,screen,CPU,RAM,memory,graphic card,weight,discount,warranty,fgold,installment,evaluation,answer,star,size,color,cpu_branch,cpu_type,cpu_speed,cpu_core,cpu_thread,ram_type,ram_speed,ram_track,ram_onboard,screen_tech,screen_resolution,screen_plate,screen_scan,screen_coverage,screen_type,speaker,keyboard_type,keyboard_number,keyboard_lamp,battery_type,battery_supply,os,price
acer,15.6,Core i5,32,512,NVIDA Geforce RTX 2050 4GB,1.7,4400000,12,0.0,3088000,0,0,0,361 x 237 x 17.9 mm,Xám,Intel,13420H,3.4,,,DDR4,,2,0,FHD,1920 x 1080 Pixels,IPS,60,,,2,English International Backlit Keyboard,Có,LED,Lithium-ion,,windows,18590000
gigabyte,15.6,Ryzen 5,8,512,NVIDIA GeForce RTX 3060 6GB,2.12,1500000,24,4.747,1619000,72,37,5,361 x 258 x 25.3 mm,Đen,AMD,5600H,3.3,6.0,12.0,DDR4,3200 MHz,2,0,Anti - Glare,1920 x 1080 Pixels,IPS,144,45% NTSC,,2,English International Backlit Keyboard,Có,LED,,,windows,18490000
hp,15.6,Core i5,8,512,Intel Iris Xe Graphics,1.69,1600000,12,4.647,1619000,0,0,5,36.02 x 23.4 x 1.8 (W x D x H) cm,Bạc,Intel,1335U,3.3,,,,3200 MHz,2,0,IPS,FHD (1920 x 1080),IPS,Hãng không công bố,,,,English International Non-backlit Keyboard,Có,Không,,,windows,18390000
acer,14.0,Ryzen 5,16,512,,1.2,500000,12,4.497,1498000,0,0,5,321.71 x 211.72 x 15.9 mm,Bạc,AMD,7530U,2.0,,,DDR4,,0,1,Acer CineCrystalTM LED-backlit TFT LCD,FHD (1920 x 1080),IPS,60,,,,Backlit Chiclet Keyboard,Không,LED,,,windows,17990000
lenovo,15.6,Ryzen 5,16,512,,1.7,700000,24,4.672,1514000,0,0,5,357 x 235 x 18.9 mm,Xám Nhạt,AMD,7530U,2.0,6.0,12.0,DDR4,3200 MHz,1,1,Anti - Glare,1920 x 1080 Pixels,IPS,60,45% NTSC,,2,English International Backlit Keyboard,Có,LED,,,windows,17990000
msi,15.6,Ryzen 5,8,512,AMD Radeon RX 6600M 8GB,2.35,9000000,12,4.497,1683000,16,89,5,359 x 259 x 23.95 mm,Đen,AMD,5600H,3.3,6.0,12.0,DDR4,3200 MHz,2,0,IPS FHD,1920 x 1080 Pixels,IPS,144,45% NTSC,Màn hình phẳng,2,"6-row, multimedia Fn keys",Có,LED,Lithium-ion,180 W,windows,17990000
hp,16.1,Ryzen 5,8,512,NVIDIA GeForce RTX 3050 4GB,2.4,7500000,12,4.747,1900000,33,115,4,37 x 26 x 2.35 cm,Đen,AMD,6600H,3.3,6.0,12.0,DDR5,4800 MHz,2,0,IPS,1920 x 1080 Pixels,IPS,144,,,,Chiclet Keyboard,Có,LED,Lithium polymer,,windows,17990000
asus,14.0,Ryzen 5,8,512,AMD Radeon Graphics,1.4,2000000,24,4.472,1619000,16,20,5,31.12 x 22.11 x 1.59 ~ 1.59 cm,Đen,AMD,5600H,3.3,6.0,12.0,DDR4,3200 MHz,Không,Có,OLED,2880 x 1800 Pixels,IPS,90,,,,Backlit Chiclet Keyboard,Không,LED,,,windows,17990000
asus,14.0,Ryzen 5,8,512,AMD Radeon Graphics,1.4,2000000,24,4.472,1619000,139,165,5,330 x 221.7 x 15.9 mm,Đen,AMD,5600H,3.3,6.0,12.0,LPDDR4X,4267 MHz,Không,Có,OLED,2880 x 1800 Pixels,OLED,90,100% DCI-P3,LED,1,Backlit Chiclet Keyboard,Có,LED,Lithium-ion,100 W,windows,17990000
asus,17.3,Core i5,8,512,NVIDIA GeForce RTX 3050 4GB,2.6,8500000,24,4.622,1980000,99,110,5,399 x 269 x 23.3 mm,Xám,Intel,11400H,2.7,6.0,12.0,DDR4,3200 MHz,2,0,IPS LCD LED Backlit,1920 x 1080 Pixels,IPS,144,62% sRGB,Màn hình phẳng,,Backlit Chiclet Keyboard,Có,LED,Lithium-ion,180 W,windows,17990000
acer,14.0,Core i5,16,512,Intel Iris Xe Graphics,1.19,5300000,12,4.372,1699000,295,256,5,15.9	x 322.8 x 212.2 mm,Bạc,Intel,1135G7,2.4,4.0,8.0,LPDDR4X,4266 MHz,Không,,Acer ComfyView Anti-glare LED-backlit,1920 x 1080 Pixels,IPS,60,100% sRGB,LED,2,Backlit Chiclet Keyboard,,LED,Lithium-ion,56 W,windows,17690000
hp,15.6,Core i5,16,512,Intel Iris Xe Graphics,1.7,2500000,12,4.797,1578000,14,25,5,35.85 x 24.2 x 1.79 cm,Bạc,Intel,1235U,1.3,10.0,12.0,DDR4,3200 MHz,2,0,Anti-Glare,1920 x 1080 Pixels,IPS,60,,LED,,"6-row, multimedia Fn keys, numeric keypad",Có,Không,,,windows,17490000
hp,15.6,Core i5,8,512,NVIDIA GeForce MX550 2GB,1.71,4000000,12,5.347,1570000,14,15,5,36.02 x 23.4 x 1.79 cm,Bạc,Intel,1235U,1.3,10.0,12.0,DDR4,3200 MHz,2,0,IPS FHD,1920 x 1080 Pixels,IPS,60,,,,Chiclet Keyboard,Có,Không,,,windows,17390000
hp,15.6,Core i7,8,512,Intel Iris Xe Graphics,1.69,5700000,12,4.247,1731000,25,37,4,"35,85 x 24,2 x 1,79 cm",Xanh,Intel,1255U,1.7,10.0,12.0,DDR4,3200 MHz,2,0,Wide-Viewing Angle (WVA),1920 x 1080 Pixels,WVA,60,45% NTSC,LCD,2,Chiclet Keyboard,Có,Không,,,windows,17190000
asus,15.6,Ryzen 5,8,512,NVIDIA GeForce RTX 3050 4GB,2.3,5000000,24,4.497,1699000,82,132,5,35.9 x 25.6 x 2.28 cm,Đen,AMD,4600H,3.0,6.0,12.0,DDR4,3200 MHz,2,0,FHD,1920 x 1080 Pixels,IPS,144,45% NTSC,Màn hình phẳng,,Chiclet Keyboard,Có,LED,Lithium-ion,180 W,windows,16990000
lenovo,14.0,Core i5,8,512,Intel Iris Xe Graphics,1.4,4400000,24,4.497,1731000,16,24,5,323 x 218 x 17.9 mm,Xám,Intel,1235U,1.3,10.0,12.0,DDR4,3200 MHz,1,1,Anti - Glare,1920 x 1080 Pixels,IPS,60,45% NTSC,,,Chiclet Keyboard,Không,LED,,,windows,16990000
vaio,14.0,Core i5,8,512,Intel UHD Graphics,1.8,2000000,12,4.372,1538000,14,22,5,35.8 x 23.9 x 1.98 cm,Đen,Intel,1235U,3.3,,,LPDDR4,4266 MHz,1,1,IPS FHD,"1920 x 1080 Pixelss , 60Hz",IPS,60,,,,"6-row, multimedia Fn keys, numeric keypad",Không,Không,,,windows,16990000
lenovo,14.0,Ryzen 7,16,512,AMD Radeon Graphics,1.17,3000000,36,4.497,1578000,14,44,4,324.1 x 215.7 x 17.1 mm,Xám,AMD,7730U,2.0,8.0,16.0,DDR4,3200 MHz,0,1,Anti-Glare LED-Backlit Display,1920 x 1080 Pixels,IPS,,100% sRGB,LED,2,"6-row, multimedia Fn keys",Có,LED,Lithium polymer,65 W,windows,16990000
msi,15.6,Core i5,8,512,NVIDA Geforce RTX 2050 4GB,1.98,2000000,24,4.747,1538000,0,2,5,359.36 x 250.34 x 21.95~22.9 mm,Đen,Intel,12450H,2.0,8.0,12.0,DDR5,4800 MHz,2,0,IPS FHD,1920 x 1080 Pixels,IPS,144,45% NTSC,LED,2,Backlit Chiclet Keyboard,Không,LED,,120 W,windows,16990000
msi,15.6,Core i5,8,512,NVIDA Geforce RTX 2050 4GB,1.86,1300000,12,4.122,1458000,0,0,5,359 x 254 x 21.7 mm,Đen,Intel,12450H,2.0,8.0,12.0,DDR4,,2,0,FHD,1920 x 1080 Pixels,IPS,144,45% NTSC,,,Backlit Chiclet Keyboard,Không,LED,,,windows,16690000
acer,15.6,Ryzen 5,8,512,NVIDIA GeForce RTX 3050 4GB,2.1,5500000,12,4.372,1699000,15,29,5,36.34 x 25.45 x 2.29 cm (W x D x H) cm,Đen,AMD,5625U,2.3,6.0,12.0,DDR4,3200 MHz,2,0,Acer ComfyView LED-backlit,1920 x 1080 Pixels,IPS,144,,LED,,"6-row, multimedia Fn keys",Có,LED,Lithium-ion 3 viên,,windows,16490000
asus,15.6,Core i5,16,512,Intel Iris Xe Graphics,1.7,2500000,24,0.0,1538000,0,0,5,35.97 x 23.25 x 1.79 ~ 1.79 cm,Bạc,Intel,1335U,1.3,,,DDR4,,1,1,FHD,FHD (1920 x 1080),IPS,60,45% NTSC,Màn hình phẳng,,Chiclet Keyboard,Có,Không,,45 W,windows,16490000
msi,14.0,Core i5,16,512,Intel Iris Xe Graphics,1.4,2200000,24,3.985,1466000,12,13,5,319.9 x 223 x 19.35 mm,Đen,Intel,1335U,1.3,10.0,12.0,DDR4,3200 MHz,0,1,IPS,1920 x 1080 Pixels,IPS,60,,,2,"6-row, multimedia Fn keys",Không,LED,Lithium polymer,65 W,windows,16290000
msi,15.6,Core i5,8,512,Intel UHD Graphics,1.7,2200000,24,4.122,1466000,14,14,5,359 x 241 x 19.9 mm,Đen,Intel,1335U,,10.0,12.0,DDR4,3200 MHz,Không,Có,FHD,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,2,Backlit Chiclet Keyboard,Có,LED,Lithium polymer,65 W,windows,16290000
asus,15.6,Core i5,8,512,Intel UHD Graphics,1.7,5200000,24,4.247,1659000,46,393,4,356.8 x 227.6 x 19.9 mm,Bạc,Intel,12500H,2.5,12.0,16.0,DDR4,3200 MHz,Không,8,OLED,1920 x 1080 Pixels,IPS,60,100% DCI-P3,LED,,Backlit Chiclet Keyboard,Có,LED,Lithium polymer,,windows,16290000
lenovo,16.0,Core i5,16,512,Intel UHD Graphics,1.89,1500000,36,4.122,1377000,14,52,5,356 x 251 x 17.9 mm,Đen,Intel,12450H,2.0,8.0,12.0,DDR5,4800 MHz,0,2,Anti - Glare,1920 x 1200 Pixels,IPS,60,45% NTSC,LED,,English International Non-backlit Keyboard,Có,Không,,65 W,windows,15990000
asus,16.0,Ryzen 7,16,512,,1.88,2500000,24,0.0,1498000,0,0,5,35.87 x 24.95 x 1.99 cm,Bạc,AMD,7730U,2.0,,,DDR4,,1,1,LED Backlit,1920 x 1200 Pixels,IPS,60,85% NTSC,LED,,Chiclet Keyboard,Có,Không,,45 W,windows,15990000
acer,15.6,Core i5,16,512,,2.1,500000,12,3.975,1337000,0,0,5,362.3 x 237.4  x 19.9 mm,Đen,Intel,12450H,3.3,,,DDR4,,2,0,Acer ComfyView LED-backlit,FHD (1920 x 1080),IPS,60,,,,English International Backlit Keyboard,Có,LED,,,windows,15990000
acer,15.6,Core i5,16,512,,1.7,500000,12,3.947,1337000,0,0,5,362.9 x 237.5  x 17.99 mm,Xám,Intel,1335U,3.4,,,LPDDR5,,0,1,Acer ComfyView Anti-glare LED-backlit,FHD (1920 x 1080),IPS,60,,,,English International Non-backlit Keyboard,Có,Không,,,windows,15990000
msi,14.0,Core i5,8,512,Intel Iris Xe Graphics,1.4,2200000,24,3.862,1426000,16,14,5,319.9 x 223 x 19.35 mm,Đen,Intel,1335U,,10.0,12.0,DDR4,3200 MHz,Không,Có,IPS,FHD (1920 x 1080),IPS,60,45% NTSC,,2,"6-row, multimedia Fn keys, numeric keypad",Có,LED,,65 W,windows phone,15790000
hp,14.0,Core i5,8,256,Intel Iris Xe Graphics,1.41,3200000,12,3.972,1434000,26,39,4,325 x 216.6 x 17 mm,Vàng,Intel,1235U,1.3,10.0,12.0,DDR4,3200 MHz,2,0,IPS,1920 x 1080 Pixels,IPS,60,,,,Chiclet Keyboard,Không,Không,,,windows,15490000
asus,16.0,Core i5,8,512,Intel Iris Xe Graphics,1.68,2700000,24,3.747,1434000,28,41,4,35.87 x 24.95 x 1.99 ~ 1.99 cm,Bạc,Intel,1335U,1.3,10.0,12.0,DDR4,3200 MHz,1,1,Anti-Glare,1920 x 1200 Pixels,IPS,60,,,,Chiclet Keyboard,Có,Không,,42 W,windows,15490000
hp,15.6,Core i5,8,256,Intel Iris Xe Graphics,1.71,3300000,12,3.872,1442000,15,20,5,36.02 x 23.4 x 1.79 cm (W x D x H) cm,Vàng,Intel,1240P,1.7,,,DDR4,3200 MHz,2,0,IPS FHD,1920 x 1080 Pixels,IPS,60,,,,Bàn phím cứng,Có,Không,,,windows,15490000
msi,15.6,Ryzen 7,16,512,AMD Radeon Graphics,1.4,1700000,24,3.872,1377000,0,3,5,359 x 241 x 19.9 mm,Đen,AMD,7730U,2.0,8.0,16.0,DDR4,3200 MHz,Không,Có,FHD,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,2,"6-row, multimedia Fn keys, numeric keypad",Có,LED,,65 W,windows,15290000
hp,14.0,Core i5,8,512,Intel Iris Xe Graphics,1.41,3800000,12,3.872,1442000,0,0,0,32.4 x 22.59 x 1.99 (W x D x H) cm,Bạc,Intel,1235U,1.3,,,DDR4,3200 MHz,2,0,IPS,1920 x 1080 Pixels,IPS,Hãng không công bố,,,,English International Backlit Keyboard,Không,Không,Lithium-ion,45 W,windows,14990000
hp,15.6,Core i5,8,256,Intel Iris Xe Graphics,1.7,4000000,12,3.782,1353000,11,36,4,35.85 x 24.2 x 1.79 cm,Xanh,Intel,1235U,13.0,10.0,12.0,DDR4,3200 MHz,8,0,Anti-Glare,1920 x 1080 Pixels,IPS,60,,LED,,"6-row, multimedia Fn keys, numeric keypad",Có,Không,Lithium-ion,45 W,windows,14690000
asus,15.6,Ryzen 5,8,512,AMD Radeon Graphics,1.7,1500000,24,3.627,1297000,113,170,5,356.8 x 227.6 x 19.9 cm,Bạc,AMD,5600H,3.3,6.0,12.0,DDR4,3200 MHz,Không,8,OLED,1920 x 1080 Pixels,IPS,60,100% DCI-P3,OLED,,Chiclet Keyboard,Có,Không,Lithium-ion,90 W,windows,14490000
hp,15.6,Core i5,8,256,Intel Iris Xe Graphics,1.702,3500000,12,3.875,1377000,122,136,5,360.2 x 234 x 17.9 mm,Vàng,Intel,1240P,1.7,12.0,16.0,DDR4,3200 MHz,8,0,IPS FHD,1920 x 1080 Pixels,IPS,,45% NTSC,LED,,"6-row, multimedia Fn keys, numeric keypad",Có,Không,,65 W,windows,14490000
asus,15.6,Core i5,8,512,Intel Iris Xe Graphics,1.7,4000000,24,3.747,1418000,183,292,5,359.7 x 232.5 x 19.9 mm,Bạc,Intel,1240P,1.7,12.0,16.0,DDR4,3200 MHz,Không,8,LED Backlit,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,,Chiclet Keyboard,Có,Không,Lithium-ion,65 W,windows,14490000
acer,14.0,Core i5,8,512,Intel Iris Xe Graphics,1.45,800000,12,3.622,1217000,231,228,5,328 x 222.9 x 17.9 mm,Bạc,Intel,1135G7,2.4,4.0,8.0,DDR4,2666 MHz,1,Có,Acer ComfyView Anti-glare LED-backlit,1920 x 1080 Pixels,IPS,60,,LED,1,Chiclet Keyboard,Không,LED,Lithium-ion,,windows,14190000
asus,15.6,Core i5,16,512,Intel UHD Graphics,1.8,1000000,24,3.547,1217000,0,0,0,36.00 x 23.50 x 1.99 cm,Bạc,Intel,1135G7,2.4,4.0,,DDR4,3200 MHz,1,1,Anti - Glare,1920 x 1080 Pixels,IPS,60,45% NTSC,Màn hình phẳng,,Chiclet Keyboard,Có (NumberPad),Không,Lithium-ion 2 viên,45 W,windows,13990000
msi,15.6,Core i5,16,512,Intel Iris Xe Graphics,1.7,500000,24,3.447,1176000,0,2,5,359 x 241 x 19.9 mm,Đen,Intel,1235U,1.3,10.0,12.0,DDR4,3200 MHz,0,2,IPS FHD,1920 x 1080 Pixels,IPS,60,45% NTSC,Màn hình phẳng,2,English International Backlit Keyboard,Không,LED,Lithium polymer 3 viên,65 W,windows,13990000
msi,15.6,Ryzen 5,16,512,AMD Radeon Graphics,1.4,1400000,24,3.372,1217000,0,0,0,359 x 241 x 19.9 mm,Đen,AMD,7530U,2.0,6.0,12.0,DDR4,3200 MHz,0,1,FHD,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,2,"6-row, multimedia Fn keys, numeric keypad",Có,LED,,65 W,windows,13590000
msi,14.0,Core i5,16,512,Intel Iris Xe Graphics,1.4,2400000,24,3.397,1233000,0,28,0,319.9 * 223 *1 9.35 mm,Đen,Intel,1235U,1.4,10.0,12.0,DDR4,3200 MHz,0,1,FHD,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,2,Chiclet Keyboard,Có,LED,Lithium polymer,65 W,windows,13590000
acer,15.6,Core i5,8,512,Intel UHD Graphics,1.7,4500000,12,3.247,1377000,15,20,4,362.9x241.26x19.9 mm,Bạc,Intel,1235U,3.3,,,,,2,0,Acer ComfyView LED-backlit,1920 x 1080 Pixels,TFT,60,,,,English International Non-backlit Keyboard,Có,Không,,,windows,13490000
asus,14.0,Ryzen 5,8,512,AMD Radeon Graphics,1.6,1500000,24,3.385,1217000,1259,242,5,31.71 x 22.20 x 1.99 ~ 1.99 cm,Bạc,AMD,5600H,3.3,6.0,12.0,DDR4,3200 MHz,1,8,LED Backlit,1920 x 1200 Pixels,IPS,60,45% NTSC,Màn hình phẳng,,Chiclet Keyboard,Không,Không,,90 W,windows,13490000
hp,15.6,Core i5,8,256,Intel Iris Xe Graphics,1.69,4200000,12,3.622,1353000,25,49,4,358.5 x 242 x 17.9 mm,Bạc,Intel,1235U,1.3,10.0,12.0,DDR4,3200 MHz,2,0,Wide-Viewing Angle (WVA),1920 x 1080 Pixels,WVA,60,45% NTSC,LCD,2,Chiclet Keyboard,Có,Không,,,windows,13490000
asus,15.6,Ryzen 7,8,512,AMD Radeon Graphics,1.8,4000000,24,3.497,1337000,94,61,4,35.98 x 23.53 x 1.86 ~ 1.86 cm,Bạc,AMD,5700U,,8.0,16.0,DDR4,3200 MHz,Không,8,Anti-Glare LED-Backlit Display,FHD (1920 x 1080),TN,60,,LED,,Chiclet Keyboard,Có,Không,,,windows,13490000
lenovo,15.6,Core i5,16,512,Intel Iris Xe Graphics,1.65,700000,12,0.0,1096000,0,17,5,359.2 x 235.8 x 19.9 mm,Xám,Intel,12500H,2.5,12.0,16.0,DDR4,3200 MHz,1,1,Anti - Glare,1920 x 1080 Pixels,IPS,60,,,,English International Non-backlit Keyboard,Không,Không,,65 W,windows,12790000
lenovo,15.6,Ryzen 5,8,512,AMD Radeon Graphics,1.85,5000000,36,3.242,1257000,56,114,5,356.67 x 233.13 x 16.9 mm,Xám,AMD,5625U,2.3,6.0,12.0,DDR4,3200 MHz,Không,2,"IPS LCD LED Backlit, True Tone",1920 x 1080 Pixels,IPS,60,45% NTSC,LED,2,"6-row, multimedia Fn keys, numeric keypad",Có,LED,Lithium polymer,65 W,windows,12490000
lenovo,14.0,Core i5,8,512,Intel Iris Xe Graphics,1.63,5800000,24,2.99,1361000,56,101,5,359.2 x 236.5 x 19.9 mm,Xanh,Intel,1235U,1.4,10.0,12.0,DDR4,3200 MHz,1,0,"IPS LCD LED Backlit, True Tone",1920 x 1080 Pixels,TN,60,45% NTSC,LED,2,"6-row, multimedia Fn keys",Không,Không,Lithium polymer,65 W,windows,11990000
acer,15.6,Core i5,8,512,Intel Iris Xe Graphics,1.7,2500000,12,3.14,1136000,87,134,5,363.4 x 247.5 x 19.9 mm,Bạc,Intel,1135G7,2.4,4.0,8.0,DDR4,2400 MHz,1,Có,Acer ComfyView LED-backlit,1920 x 1080 Pixels,TN,60,,LED,2,Chiclet Keyboard,Có,Không,Lithium-ion,36.7 W,windows,11990000
acer,15.6,Core i3,16,512,,1.7,1000000,12,3.247,1056000,0,0,0,362.9 x 237.5 x 17.99 mm,Xám,Intel,1305U,3.3,,,LPDDR5,,0,1,Acer ComfyView Anti-glare LED-backlit,FHD (1920 x 1080),IPS,60,,,,English International Non-backlit Keyboard,Có,Không,,,windows,11990000
lenovo,15.6,Core i5,8,512,Intel Iris Xe Graphics,1.63,6000000,24,3.697,1377000,0,0,0,359.2 x 236.5 x 19.9 mm,Xanh,Intel,1235U,1.3,10.0,12.0,DDR4,3200 MHz,1,Có,Anti-Glare LED-Backlit Display,1920 x 1080 Pixels,TN,Hãng không công bố,,LED,2,"6-row, multimedia Fn keys, numeric keypad",Có,Không,Lithium polymer,65 W,windows,11990000
msi,15.6,Ryzen 5,8,512,AMD Radeon Graphics,1.4,900000,24,2.872,1016000,30,59,5,359 x 241 x 19.9 mm,Đen,AMD,7530U,2.0,6.0,12.0,DDR4,3200 MHz,Không,Có,FHD,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,2,"6-row, multimedia Fn keys, numeric keypad",Có,LED,,,windows,11590000
acer,14.0,Ryzen 5,8,512,AMD Radeon 610 2GB,1.4,1700000,12,3.322,1080000,14,15,5,328.3 (W) x 217.15 (D) x 18.0 (H) mm,Đen,AMD,7520U,2.8,4.0,8.0,,,0,1,Acer ComfyView LED-backlit,1920 x 1080 Pixels,IPS,60,,,,"6-row, multimedia Fn keys",Có,Không,,,windows,11590000
acer,15.6,Core i5,8,256,Intel Iris Xe Graphics,1.7,1000000,12,2.997,1016000,145,104,5,363.4 x 247.5 x 19.9 mm,Vàng,Intel,1135G7,2.4,4.0,8.0,DDR4,2400 MHz,1,Có,Acer ComfyView LED-backlit,1920 x 1080 Pixels,TN,60,,LED,2,Chiclet Keyboard,Có,Không,Lithium-ion,36.7 W,windows,11490000
lenovo,14.0,Core i5,8,512,Intel Iris Xe Graphics,1.43,1500000,12,2.622,1056000,0,9,5,324 x 215 x 19.9 mm,Xám,Intel,1235U,1.3,10.0,12.0,DDR4,3200 MHz,1,1,Anti - Glare,1920 x 1080 Pixels,IPS,60,,,,Chiclet Keyboard,Không,Không,,,windows,11490000
lenovo,15.6,Core i5,8,256,Intel Iris Xe Graphics,1.65,2500000,24,2.997,1072000,27,72,5,359.2 x 236.5 x 19.9 mm,Xám,Intel,1155G7,2.5,4.0,8.0,DDR4,3200 MHz,1,Có,Anti-Glare LED-Backlit Display,1920 x 1080 Pixels,TN,Hãng không công bố,45% NTSC,LED,2,"6-row, multimedia Fn keys, numeric keypad",Có,Không,Lithium polymer,65 W,windows,11190000
msi,15.0,Ryzen 5,8,512,AMD Radeon Graphics,1.4,2500000,24,2.847,1000000,0,43,0,359 x 241 x 19.9 mm,Đen,AMD,5625U,2.3,6.0,12.0,DDR4,3200 MHz,Không,1,FHD,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,,"6-row, multimedia Fn keys",Có,LED,,,windows,10990000
acer,15.6,Core i5,8,512,NVIDIA GeForce MX330 2GB,1.9,3000000,12,2.997,1056000,267,395,5,363.4 x 250.5 x 19.95 mm,Đen,Intel,1035G1,1.0,4.0,8.0,DDR4,2400 MHz,1,Có,Acer ComfyView Anti-glare LED-backlit,1920 x 1080 Pixels,TN,60,,LED,2,Chiclet Keyboard,Không,Không,Lithium-ion,,windows,10990000
dell,15.6,Core i3,8,256,Intel UHD Graphics,1.83,3200000,12,2.772,1438000,16,60,5,358.5 x 235.56 x 18.99 mm,Xám,Intel,1215U,1.2,6.0,7.0,DDR4,2666 MHz,2,0,Anti-glare LED-backlit,1920 x 1080 Pixels,WVA,120,45% NTSC,LED,2,English International Non-backlit Keyboard,Có,Không,,,windows,10990000
huawei,14.0,Core i3,8,256,Intel UHD Graphics,1.39,1200000,12,0.0,1216000,0,0,0,314.5 × 227.79 × 15.9 mm,Xám,Intel,1215U,1.2,6.0,8.0,DDR4,,1,1,Anti-Glare LED-Backlit Display,"1920 x 1080 Pixelss , 60Hz",IPS,60,45% NTSC,,,English International Backlit Keyboard,Không,Không,,65 W,windows,10790000
asus,16.0,Core i3,8,512,Intel UHD Graphics,1.68,1500000,24,2.772,1000000,17,62,4,35.87 x 24.95 x 1.99 ~ 1.99 cm,Bạc,Intel,1215U,1.2,6.0,,DDR4,3200 MHz,1,Có,Anti - Glare,1920 x 1200 Pixels,IPS,60,,,,Backlit Chiclet Keyboard,Có,Không,,42 W,windows,10790000
msi,14.0,Ryzen 5,8,512,AMD Radeon Graphics,1.4,2500000,24,2.725,959000000,32,74,5,319.9 * 223 * 19.35 mm,Đen,AMD,5625U,23.0,6.0,12.0,DDR4,3200 MHz,0,1,FHD,1920 x 1080 Pixels,IPS,60,,LED,,"6-row, multimedia Fn keys",Không,LED,,,windows,10490000
asus,14.0,Core i3,8,256,Intel UHD Graphics,1.4,2500000,24,2.622,1016000,12,19,5,32.49 x 21.39 x 1.79 cm,Xanh,Intel,1215U,1.2,,,DDR4,,1,1,FHD Chính:,1920 x 1080 Pixels Màn hình chính:,IPS,60  Màn hình chính:,,,,Chiclet Keyboard,Không,Không,,,windows,9990000
asus,15.6,Core i3,8,256,Intel UHD Graphics,1.8,2000000,24,2.997,1618000,106,94,5,359.0 x 235.0 x 17.9 mm,Bạc,Intel,1115G4,3.0,2.0,4.0,DDR4,3200 MHz,1,Có,Anti-glare LED-backlit,1920 x 1080 Pixels,IPS,60,45% NTSC,LED,2,Chiclet Keyboard,Có,,Lithium-ion,65 W,windows,9990000
lenovo,14.0,Core i3,8,512,Intel UHD Graphics,1.63,4800000,24,2.597,1160000,51,61,5,359.2 x 236.5 x 19.9 mm,Xanh,Intel,1215U,1.2,6.0,8.0,DDR4,3200 MHz,1,Có,LED Backlit,1920 x 1080 Pixels,TN,60,45% NTSC,LED,2,"6-row, multimedia Fn keys",Không,Không,Lithium polymer,65 W,windows,9990000
lenovo,15.6,Ryzen 5,8,512,AMD Radeon Graphics,1.58,3500000,24,2.622,967000000,0,0,0,360.2 x 236 x 17.9 mm,Xám,AMD,7520U,2.8,4.0,8.0,LPDDR5,5500 MHz,Không,Có,FHD,1920 x 1080 Pixels,TN,60,,LED,,English International Non-backlit Keyboard,Có,Không,,65 W,windows,9990000
asus,15.6,Core i3,8,512,Intel UHD Graphics,1.8,1500000,24,2.28,1457000,46,55,4,360 x 235 x 19.9 mm,Bạc,Intel,1115G4,,,,DDR4,,1,Có,Anti -glare LED-Backlit Display,FHD (1920 x 1080),TN,,,,,Chiclet Keyboard,Có,Không,Lithium-ion,,windows,9790000
msi,14.0,Core i3,8,512,Intel UHD Graphics,1.4,2500000,24,2.457,1444000,30,50,5,319.9 * 223 * 19.35 mm,Đen,Intel,1115G4,17.0,2.0,4.0,DDR4,3200 MHz,0,1,IPS,1920 x 1080 Pixels,IPS,60,,LED,2,Backlit Chiclet Keyboard,Không,LED,Lithium polymer,65 W,windows,9490000
hp,14.0,Core i3,8,256,Intel UHD Graphics,1.35,3200000,12,2.397,927000000,14,32,4,32.4 x 22.5 x 1.79 cm,Bạc,Intel,1115G4,3.0,,,,,2,0,LED Backlit,1920 x 1080 Pixels,SVA,Hãng không công bố,,,,English International Non-backlit Keyboard,Không,Không,,,windows,9190000
acer,15.6,Core i3,8,256,Intel UHD Graphics,1.7,4300000,12,2.15,975000000,28,61,5,362.9 (W) x 241.26 (D) x 19.9 (H) mm,Bạc,Intel,1215U,4.4,6.0,8.0,DDR4,3200 MHz,2,0,Acer ComfyView LED-backlit,1920 x 1080 Pixels,VA,60,,LED,,"6-row, multimedia Fn keys",Có,Không,,,windows,8690000
masstel,14.0,Celeron,4,128,Intel UHD Graphics,1.39,500000,18,1.325,613000000,0,247,0,329 x 220 x 18.7 mm,Xám,Intel,N4120,1.1,4.0,4.0,DDR4,2400 MHz,Không,Có,IPS LCD,1366 x 768 Pixels,IPS,60,,LED,,Chiclet Keyboard,Không,Không,Lithium-ion,,windows,3990000
macbook,16.2,M3 Max,48,1,,2.16,0,12,0.0,7320000,0,0,5,"1,68 x 35,57 x 24,81 cm",Đen,Apple,16-core,2.3,,,Hãng không công bố,,0,1,Liquid Retina XDR,3456 x 2234 Pixels,IPS,120,,,,English International Backlit Keyboard,Không,Trắng,Lithium polymer,140 W,macos,102490000
